[10-Aug-2018 15:26:45 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'codex_book_init' not found or invalid function name in /homepages/10/d745001381/htdocs/strasbourg2/wp-includes/class-wp-hook.php on line 286
[10-Aug-2018 15:26:57 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'codex_book_init' not found or invalid function name in /homepages/10/d745001381/htdocs/strasbourg2/wp-includes/class-wp-hook.php on line 286
[10-Aug-2018 15:26:57 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /homepages/10/d745001381/htdocs/strasbourg2/wp-includes/class-wp-hook.php:286) in /homepages/10/d745001381/htdocs/strasbourg2/wp-admin/includes/misc.php on line 1126
[10-Aug-2018 15:27:06 UTC] PHP Warning:  call_user_func_array() expects parameter 1 to be a valid callback, function 'codex_book_init' not found or invalid function name in /homepages/10/d745001381/htdocs/strasbourg2/wp-includes/class-wp-hook.php on line 286
[10-Aug-2018 15:27:06 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /homepages/10/d745001381/htdocs/strasbourg2/wp-includes/class-wp-hook.php:286) in /homepages/10/d745001381/htdocs/strasbourg2/wp-admin/includes/misc.php on line 1126
[10-Aug-2018 15:27:06 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /homepages/10/d745001381/htdocs/strasbourg2/wp-includes/class-wp-hook.php:286) in /homepages/10/d745001381/htdocs/strasbourg2/wp-includes/pluggable.php on line 1219
[10-Aug-2018 15:42:38 UTC] PHP Parse error:  syntax error, unexpected ')' in /homepages/10/d745001381/htdocs/strasbourg2/wp-content/themes/wen-associate-child/portofolio.php on line 55
[10-Aug-2018 15:42:38 UTC] PHP Parse error:  syntax error, unexpected ')' in /homepages/10/d745001381/htdocs/strasbourg2/wp-content/themes/wen-associate-child/portofolio.php on line 55
[10-Aug-2018 16:26:22 UTC] PHP Warning:  require_once(/homepages/10/d745001381/htdocs/strasbourg2/wp-content/themes/wen-associate-child/portofolio.php): failed to open stream: No such file or directory in /homepages/10/d745001381/htdocs/strasbourg2/wp-content/themes/wen-associate-child/functions.php on line 2
[10-Aug-2018 16:26:22 UTC] PHP Fatal error:  require_once(): Failed opening required '/homepages/10/d745001381/htdocs/strasbourg2/wp-content/themes/wen-associate-child/portofolio.php' (include_path='.:/usr/lib/php5.6') in /homepages/10/d745001381/htdocs/strasbourg2/wp-content/themes/wen-associate-child/functions.php on line 2
